varCode,varLabel,nutrient,unit
own_phytac_cons,phytac from own consumption,phytic acid,
gift_phytac_cons,phytac from gift consumption,phytic acid,
tot_trp_cons,trp from tot consumption,tryptophan,
purch_trp_cons,trp from purch consumption,tryptophan,
own_trp_cons,trp from own consumption,tryptophan,
gift_trp_cons,trp from gift consumption,tryptophan,
tot_thr_cons,thr from tot consumption,threonine,
purch_thr_cons,thr from purch consumption,threonine,
own_thr_cons,thr from own consumption,threonine,
gift_thr_cons,thr from gift consumption,threonine,
tot_ile_cons,ile from tot consumption,isoleucine,
purch_ile_cons,ile from purch consumption,isoleucine,
own_ile_cons,ile from own consumption,isoleucine,
gift_ile_cons,ile from gift consumption,isoleucine,
tot_leu_cons,leu from tot consumption,leucine,
purch_leu_cons,leu from purch consumption,leucine,
own_leu_cons,leu from own consumption,leucine,
gift_leu_cons,leu from gift consumption,leucine,
tot_lys_cons,lys from tot consumption,lysine,
purch_lys_cons,lys from purch consumption,lysine,
own_lys_cons,lys from own consumption,lysine,
gift_lys_cons,lys from gift consumption,lysine,
tot_met_cons,met from tot consumption,methionine,
purch_met_cons,met from purch consumption,methionine,
own_met_cons,met from own consumption,methionine,
gift_met_cons,met from gift consumption,methionine,
tot_cys_cons,cys from tot consumption,cystine,
purch_cys_cons,cys from purch consumption,cystine,
own_cys_cons,cys from own consumption,cystine,
gift_cys_cons,cys from gift consumption,cystine,
tot_phe_cons,phe from tot consumption,phenylalanine,
purch_phe_cons,phe from purch consumption,phenylalanine,
own_phe_cons,phe from own consumption,phenylalanine,
gift_phe_cons,phe from gift consumption,phenylalanine,
tot_tyr_cons,tyr from tot consumption,tyrosine,
purch_tyr_cons,tyr from purch consumption,tyrosine,
own_tyr_cons,tyr from own consumption,tyrosine,
gift_tyr_cons,tyr from gift consumption,tyrosine,
tot_val_cons,val from tot consumption,valine,
purch_val_cons,val from purch consumption,valine,
own_val_cons,val from own consumption,valine,
gift_val_cons,val from gift consumption,valine,
tot_arg_cons,arg from tot consumption,arginine,
purch_arg_cons,arg from purch consumption,arginine,
own_arg_cons,arg from own consumption,arginine,
gift_arg_cons,arg from gift consumption,arginine,
tot_his_cons,his from tot consumption,histidine,
purch_his_cons,his from purch consumption,histidine,
